job_key,source,url,title,title_clean,company,seniority,location_primary,work_arrangement,salary_raw,salary_min_vnd,salary_max_vnd,salary_mid_vnd,salary_currency,salary_disclosed,n_skills,posted_raw,first_seen_at,last_seen_at,skills,locations
careerlink:3608482,careerlink,https://www.careerlink.vn/tim-viec-lam/giam-sat-cua-hang-thiet-bi-may-tinh/3608482,GIÁM SÁT CỬA HÀNG (THIẾT BỊ MÁY TÍNH),GIÁM SÁT CỬA HÀNG,CÔNG TY TNHH TIN HỌC NGÔI SAO LỚN,Manager,Hồ Chí Minh,,Thương lượng,,,,,False,0,2026-09-03T06:44:01+00:00,2026-09-08T06:38:14+00:00,2026-09-09T07:24:41+00:00,,"Hồ Chí Minh, Bình Dương"
careerlink:3609249,careerlink,https://www.careerlink.vn/tim-viec-lam/full-stack-ai-developer/3609249,Full Stack AI Developer,Full Stack AI Developer,CÔNG TY CỔ PHẦN TẬP ĐOÀN KHOA HỌC CÔNG NGHỆ BÁCH KHOA,Nhân viên,Hồ Chí Minh,,Thương lượng,,,,,False,0,2026-09-07T08:09:32+00:00,2026-09-08T06:38:14+00:00,2026-09-09T07:24:41+00:00,,Hồ Chí Minh
careerlink:3598847,careerlink,https://www.careerlink.vn/tim-viec-lam/chuyen-vien-cao-cap-phan-tich-du-lieu/3598847,Chuyên Viên Cao Cấp - Phân Tích Dữ Liệu,Chuyên Viên Cao Cấp - Phân Tích Dữ Liệu,PNJ Jewelry Production And Trading Company Limited (PNJP),Senior,Hồ Chí Minh,,20 triệu - 30 triệu,20000000.0,30000000.0,25000000.0,VND,True,0,2026-09-05T19:09:37+00:00,2026-09-08T06:38:14+00:00,2026-09-09T07:24:41+00:00,,Hồ Chí Minh
careerlink:3597750,careerlink,https://www.careerlink.vn/tim-viec-lam/pho-giam-doc-cong-nghe-thong-tin/3597750,PHÓ GIÁM ĐỐC CÔNG NGHỆ THÔNG TIN,PHÓ GIÁM ĐỐC CÔNG NGHỆ THÔNG TIN,Công Ty Bánh Đồng Tiến Đà Nẵng,Head/Director,Đà Nẵng,,Thương lượng,,,,,False,0,2026-09-03T03:00:59+00:00,2026-09-08T06:38:14+00:00,2026-09-09T07:24:41+00:00,,Đà Nẵng
careerlink:3604887,careerlink,https://www.careerlink.vn/tim-viec-lam/ky-su-cong-nghe-thong-tin/3604887,KỸ SƯ CÔNG NGHỆ THÔNG TIN,KỸ SƯ CÔNG NGHỆ THÔNG TIN,CÔNG TY TNHH LUYỆN KIM TRẦN HỒNG QUÂN,Không rõ,,,Thương lượng,,,,,False,0,2026-09-08T15:11:26+00:00,2026-09-08T06:38:14+00:00,2026-09-09T07:24:41+00:00,,
careerlink:3607169,careerlink,https://www.careerlink.vn/tim-viec-lam/thuc-tap-sinh-quan-ly-mang-luoi-doi-xe/3607169,Thực Tập Sinh Quản lý mạng lưới (Đội xe),Thực Tập Sinh Quản lý mạng lưới,Công Ty TNHH MTV Chuyển Phát Nhanh Thuận Phong - CN TP.HCM,Manager,Hồ Chí Minh,,1 triệu - 3 triệu,1000000.0,3000000.0,2000000.0,VND,True,0,2026-09-06T08:14:45+00:00,2026-09-08T06:38:14+00:00,2026-09-09T07:24:41+00:00,,Hồ Chí Minh
careerlink:3598013,careerlink,https://www.careerlink.vn/tim-viec-lam/nhan-vien-kiem-thu-phan-mem/3598013,Nhân Viên Kiểm Thử Phần Mềm,Nhân Viên Kiểm Thử Phần Mềm,CÔNG TY TNHH RORZE ROBOTECH,Nhân viên,Hải Phòng,,Cạnh tranh,,,,,False,0,2026-09-05T14:31:25+00:00,2026-09-08T06:38:14+00:00,2026-09-09T07:24:41+00:00,,Hải Phòng
careerlink:3598231,careerlink,https://www.careerlink.vn/tim-viec-lam/truong-phong-he-thong-quy-dinh-quy-trinh-va-kpi-gia-lai/3598231,Trưởng Phòng Hệ thống Quy định - Quy trình và KPI (Gia Lai),Trưởng Phòng Hệ thống Quy định - Quy trình và KPI,CÔNG TY CỔ PHẦN NÔNG NGHIỆP TRƯỜNG HẢI,Manager,Gia Lai,,Thương lượng,,,,,False,0,2026-08-25T03:05:07+00:00,2026-09-08T06:38:14+00:00,2026-09-09T07:24:41+00:00,,Gia Lai
careerlink:2190996,careerlink,https://www.careerlink.vn/tim-viec-lam/nhan-vien-tu-van-linh-vuc-cong-nghe-thong-tin/2190996,NHÂN VIÊN TƯ VẤN LĨNH VỰC CÔNG NGHỆ THÔNG TIN,NHÂN VIÊN TƯ VẤN LĨNH VỰC CÔNG NGHỆ THÔNG TIN,CareerLink Asia,Lead,,,70 triệu - 140 triệu,70000000.0,140000000.0,105000000.0,VND,True,0,2026-08-17T01:22:44+00:00,2026-09-08T06:38:14+00:00,2026-09-09T07:24:41+00:00,,
careerlink:3598767,careerlink,https://www.careerlink.vn/tim-viec-lam/quan-ly-du-an-it-pm-nhan-viec-ngay-tuyen-gap/3598767,Quản Lý Dự Án IT PM - NHẬN VIỆC NGAY- Tuyển Gấp,Quản Lý Dự Án IT PM - NHẬN VIỆC NGAY- Tuyển Gấp,CÔNG TY TNHH ĐIỆN KHÍ QUỐC QUANG (VIỆT NAM),Manager,Đà Nẵng,,Thương lượng,,,,,False,0,2026-09-03T04:37:40+00:00,2026-09-08T06:38:14+00:00,2026-09-09T07:24:41+00:00,,"Đà Nẵng, Quảng Nam"
